mean_pitch,pitch_variability,tempo,mean_intensity,intensity_variability,total_silence_duration,num_pauses,spectral_entropy,jitter,shimmer,hnr,speech_segment_durations,formant_1,formant_2,file_name,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13
756.75037,581.254,[101.33272059],0.002961984,0.0020484708,0.0,1,19.8106799790843,5.727814,,-1.3736046e-06,135.0,0.9624279,0.81094617,5.mp3,-562.0714721679688,156.71705627441406,5.035635471343994,38.16834259033203,-2.895517587661743,10.761590003967285,-0.9659002423286438,-12.876958847045898,-5.781928539276123,2.2502472400665283,-12.26762580871582,-1.903069019317627,-8.288222312927246,30.04422378540039,26.849123001098633,11.164793014526367,13.349196434020996,14.236599922180176,11.050069808959961,8.378735542297363,10.129124641418457,8.657926559448242,7.412349700927734,7.399602890014648,6.875310897827148,6.8258748054504395
799.7275,614.1139,[107.66601562],0.0022979781,0.0018246465,1.9645351473922903,74,20.54874437304463,5.5827937,,-5.121781e-07,105.0354648526077,0.99622166,0.99622166,37.mp3,-614.2333984375,170.77049255371094,9.480978965759277,11.4193696975708,10.550806999206543,3.823643207550049,1.0676246881484985,-12.311383247375488,-8.461568832397461,-6.634232044219971,-8.395255088806152,2.1052000522613525,-11.632739067077637,46.15357971191406,26.686744689941406,20.643875122070312,18.264690399169922,16.5201358795166,11.282282829284668,9.839680671691895,11.16556167602539,10.372492790222168,9.506221771240234,9.07629108428955,7.344059467315674,9.902987480163574
768.2988,557.2327,[132.51201923],0.0031260997,0.0023040758,0.05877551020408163,4,20.568272177415146,5.36023,,-4.825462e-07,135.94122448979593,1.0076585,1.0076585,21.mp3,-590.5361328125,177.64060974121094,7.056315898895264,11.831964492797852,6.616457462310791,2.917329788208008,1.3285002708435059,-12.992074966430664,-9.958212852478027,-2.464221477508545,-7.942854404449463,1.9048004150390625,-8.295082092285156,43.782867431640625,28.219423294067383,17.991436004638672,19.368738174438477,17.570186614990234,12.340261459350586,9.867722511291504,11.693460464477539,11.531858444213867,9.040777206420898,8.734132766723633,8.006695747375488,8.028526306152344
752.8497,598.9165,[101.33272059],0.0050821216,0.003921686,16.051972789115645,129,21.861786185495752,5.1846747,,-3.9789927e-07,108.94802721088435,0.9154081,0.8976626,17.mp3,-553.4232788085938,159.82205200195312,14.320525169372559,15.097349166870117,4.509076118469238,9.136985778808594,-2.1611392498016357,-14.999338150024414,-6.978394508361816,-5.0992937088012695,-9.496879577636719,-2.19067120552063,-11.223966598510742,57.594696044921875,33.995399475097656,23.415184020996094,25.071020126342773,22.03058433532715,15.544511795043945,12.595231056213379,13.280744552612305,10.148509979248047,10.923511505126953,9.636784553527832,9.906636238098145,9.17905330657959
835.80005,691.88025,[117.45383523],0.00534956,0.003996069,21.86204081632653,161,21.754174082176657,5.454024,,-8.138803e-07,159.13795918367347,0.98736274,0.98736274,41.mp3,-567.1615600585938,155.72442626953125,15.985021591186523,11.820152282714844,1.6933987140655518,3.0535972118377686,-2.089722156524658,-14.088364601135254,-10.290557861328125,-8.65864086151123,-7.3123579025268555,-3.7359423637390137,-10.289518356323242,45.403343200683594,31.106061935424805,20.790468215942383,20.76430892944336,20.60338020324707,13.691993713378906,11.196561813354492,12.41571044921875,8.909994125366211,9.722677230834961,9.384737014770508,8.861603736877441,8.547796249389648
721.18414,616.12823,[161.49902344],0.004076911,0.003037464,8.231473922902495,183,20.69011657433192,5.519815,,-8.569222e-07,142.7685260770975,0.96120846,0.96120846,44.mp3,-580.7999267578125,166.052978515625,17.272388458251953,20.969478607177734,15.77410888671875,8.810456275939941,-4.483663082122803,-10.185141563415527,-8.07992172241211,-10.489592552185059,-11.05884075164795,2.1644606590270996,-7.181332588195801,54.16775894165039,32.05674362182617,20.231704711914062,21.732316970825195,20.799753189086914,12.504549026489258,13.301838874816895,11.869490623474121,10.019808769226074,12.582695960998535,10.173284530639648,8.788191795349121,9.457789421081543
950.2133,775.8472,[114.84375],0.0030806393,0.003173351,37.3772335600907,103,21.3047092670353,5.517861,,-1.2369176e-06,78.6227664399093,0.9684557,0.9684557,118.mp3,-606.5492553710938,131.87074279785156,17.29806137084961,12.177501678466797,9.446378707885742,0.9057180285453796,-6.628644943237305,-12.210854530334473,-9.970717430114746,-3.703458547592163,-5.320908069610596,-4.173842906951904,-4.968522071838379,53.312931060791016,33.3411865234375,24.024925231933594,22.560331344604492,20.804677963256836,14.225802421569824,13.977253913879395,12.223054885864258,10.970394134521484,10.502617835998535,10.179727554321289,9.824995994567871,8.304394721984863
839.76447,645.35297,[139.67483108],0.0031557411,0.0023061591,2.3219954648526078,82,20.99200697066074,5.6952705,,-4.575005e-07,153.67800453514738,0.92318493,0.92318493,22.mp3,-582.9296264648438,157.74525451660156,8.51845645904541,16.503192901611328,2.6791117191314697,1.9163576364517212,-0.2661036550998688,-13.045910835266113,-9.814360618591309,-3.2537403106689453,-6.782649040222168,-3.748286485671997,-8.952391624450684,36.90951919555664,28.527894973754883,16.1041202545166,21.474973678588867,18.83147621154785,13.31167984008789,11.124263763427734,11.804006576538086,8.402853965759277,8.996259689331055,9.228352546691895,8.938754081726074,6.9308600425720215
838.14856,705.5072,[114.84375],0.0045775427,0.003319047,6.664671201814059,106,21.119828425373715,5.4887986,,-4.0263214e-07,159.33532879818594,0.905247,0.905247,2.mp3,-552.6978759765625,161.09715270996094,10.256670951843262,22.7261905670166,0.16086499392986298,3.0645456314086914,-1.2368041276931763,-12.254189491271973,-7.8757452964782715,-3.6726250648498535,-10.490036010742188,4.782060623168945,-7.033173084259033,47.352848052978516,34.529998779296875,17.446914672851562,26.16144561767578,22.060447692871094,13.974395751953125,12.23215389251709,11.365766525268555,11.49572467803955,10.410300254821777,9.34821891784668,9.412561416625977,8.099029541015625
873.43585,682.17883,[120.18531977],0.004497183,0.0031023836,21.21124716553288,107,21.300835209473,5.352116,,-3.359684e-07,136.78875283446712,0.99696505,0.99696505,57.mp3,-552.8074340820312,162.4122314453125,10.85745906829834,5.5862956047058105,8.487106323242188,6.336263179779053,-4.229702472686768,-18.352542877197266,-12.918109893798828,-9.116720199584961,-8.863182067871094,-4.871110916137695,-7.536595821380615,42.32478713989258,29.647294998168945,18.968923568725586,21.998292922973633,17.728771209716797,14.248154640197754,10.488704681396484,11.850311279296875,10.70568561553955,8.817632675170898,9.378860473632812,9.310993194580078,9.06076431274414
